"filename", "language", "TypeScript", "JSON", "JSON with Comments", "Markdown", "MS SQL", "JavaScript", "HTML", "Docker", "Ignore", "PostCSS", "Shell Script", "YAML", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\AuthScreen\components\AuthLinks.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\AuthScreen\components\AuthToggle.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\AuthScreen\components\SignUp\components\AskAge.text.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 6, 23, 98
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\AuthScreen\components\SignUp\components\AskAgree.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 2, 23, 106
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\AuthScreen\components\SignUp\components\AskLocation.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\DayScreen\components\DayTracker\DidYouKnowCard.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 5, 36
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\EncyclopediaScreen\components\HelpCard.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\FindHelpScreen\components\HelpCenterCard.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 1, 6, 61
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\MainScreen\components\CenterCard.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 8, 85
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\ProfileScreen\components\CycleCard.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 7, 62
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\services\asset.test.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 49
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\services\auth.test.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\services\dateUtils.test.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 100
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\services\utils.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 12, 76
"d:\github\NODE-JS\work\periodtracker\app\app.config.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"d:\github\NODE-JS\work\periodtracker\app\babel.config.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 12
"d:\github\NODE-JS\work\periodtracker\app\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 76
"d:\github\NODE-JS\work\periodtracker\app\firebase.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
