Date : 2026-01-16 09:51:03
Directory : d:\github\NODE-JS\work\periodtracker
Total : 606 files,  81852 codes, 1580 comments, 7072 blanks, all 90504 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| packages\cms\src\views\modals                                                                                                      |         14 |      1,734 |         53 |         30 |      1,817 |
| packages\cms\src\views\partials                                                                                                    |          4 |        128 |          1 |         11 |        140 |
| packages\core                                                                                                                      |         28 |     34,728 |         43 |        109 |     34,880 |
| packages\core (Files)                                                                                                              |          5 |         81 |          0 |          5 |         86 |
| packages\core\__tests__                                                                                                            |          2 |        218 |         27 |         33 |        278 |
| packages\core\__tests__\mappers                                                                                                    |          1 |        145 |         21 |         19 |        185 |
| packages\core\__tests__\modules                                                                                                    |          1 |         73 |          6 |         14 |         93 |
| packages\core\__tests__\modules\translations                                                                                       |          1 |         73 |          6 |         14 |         93 |
| packages\core\__tests__\modules\translations\content                                                                               |          1 |         73 |          6 |         14 |         93 |
| packages\core\src                                                                                                                  |         21 |     34,429 |         16 |         71 |     34,516 |
| packages\core\src (Files)                                                                                                          |          1 |          3 |          0 |          1 |          4 |
| packages\core\src\api                                                                                                              |          2 |        395 |          1 |         26 |        422 |
| packages\core\src\common                                                                                                           |         11 |     33,763 |          8 |         16 |     33,787 |
| packages\core\src\common (Files)                                                                                                   |          4 |     32,440 |          8 |         11 |     32,459 |
| packages\core\src\common\translations                                                                                              |          7 |      1,323 |          0 |          5 |      1,328 |
| packages\core\src\mappers                                                                                                          |          7 |        268 |          7 |         28 |        303 |
| packages\delete-account                                                                                                            |          5 |        266 |          0 |         19 |        285 |
| sql                                                                                                                                |         12 |        588 |         15 |        121 |        724 |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                           | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\github\NODE-JS\work\periodtracker\.dockerignore                                                                                 | Ignore             |          3 |          0 |          0 |          3 |
| d:\github\NODE-JS\work\periodtracker\.k8s\README.md                                                                                | Markdown           |         14 |          0 |          6 |         20 |
| d:\github\NODE-JS\work\periodtracker\.k8s\adminer.yaml                                                                             | YAML               |         38 |          0 |          1 |         39 |
| d:\github\NODE-JS\work\periodtracker\.k8s\api-ingress.yaml                                                                         | YAML               |         24 |          0 |          1 |         25 |
| d:\github\NODE-JS\work\periodtracker\.k8s\api.yaml                                                                                 | YAML               |         67 |          0 |          1 |         68 |
| d:\github\NODE-JS\work\periodtracker\.k8s\cms-ingress.yaml                                                                         | YAML               |         24 |          0 |          1 |         25 |
| d:\github\NODE-JS\work\periodtracker\.k8s\cms.yaml                                                                                 | YAML               |         76 |          0 |          1 |         77 |
| d:\github\NODE-JS\work\periodtracker\.k8s\deploy-k8s.sh                                                                            | Shell Script       |         25 |          2 |         11 |         38 |
| d:\github\NODE-JS\work\periodtracker\.k8s\letsencrypt.yml                                                                          | YAML               |         14 |          4 |          0 |         18 |
| d:\github\NODE-JS\work\periodtracker\.prettierignore                                                                               | Ignore             |          1 |          0 |          0 |          1 |
| d:\github\NODE-JS\work\periodtracker\.prettierrc                                                                                   | JSON               |          6 |          0 |          1 |          7 |
| d:\github\NODE-JS\work\periodtracker\AboutOky.md                                                                                   | Markdown           |         51 |          1 |         42 |         94 |
| d:\github\NODE-JS\work\periodtracker\CODE_OF_CONDUCT.md                                                                            | Markdown           |         93 |          0 |         36 |        129 |
| d:\github\NODE-JS\work\periodtracker\CONTRIBUTING.md                                                                               | Markdown           |         55 |          0 |         39 |         94 |
| d:\github\NODE-JS\work\periodtracker\Dockerfile                                                                                    | Docker             |         14 |          2 |          6 |         22 |
| d:\github\NODE-JS\work\periodtracker\README.md                                                                                     | Markdown           |         23 |          0 |         23 |         46 |
| d:\github\NODE-JS\work\periodtracker\app\App.tsx                                                                                   | TypeScript JSX     |         53 |          0 |          5 |         58 |
| d:\github\NODE-JS\work\periodtracker\app\README.md                                                                                 | Markdown           |         22 |          0 |         12 |         34 |
| d:\github\NODE-JS\work\periodtracker\app\__mocks__\vector-icons.js                                                                 | JavaScript         |          2 |          1 |          1 |          4 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\A.test.tsx                                                       | TypeScript JSX     |         23 |          0 |          4 |         27 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\Avatar\AvatarMessage.test.tsx                                    | TypeScript JSX     |         48 |          6 |         17 |         71 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\Background.test.tsx                                              | TypeScript JSX     |         47 |          2 |         10 |         59 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\Button.test.tsx                                                  | TypeScript JSX     |         17 |          0 |          3 |         20 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\CheckButton.test.tsx                                             | TypeScript JSX     |         17 |          0 |          3 |         20 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\Checkbox.test.tsx                                                | TypeScript JSX     |         24 |          1 |          3 |         28 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\DatePicker.test.tsx                                              | TypeScript JSX     |         52 |          1 |          7 |         60 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\EmojiBadge.test.tsx                                              | TypeScript JSX     |         23 |          0 |          4 |         27 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\ErrorText.test.tsx                                               | TypeScript JSX     |         17 |          0 |          3 |         20 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\Hr.test.tsx                                                      | TypeScript JSX     |          9 |          0 |          2 |         11 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\IconButton.test.tsx                                              | TypeScript JSX     |         27 |          0 |          5 |         32 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\InfoDisplay.test.tsx                                             | TypeScript JSX     |         17 |          0 |          3 |         20 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\Screen.test.tsx                                                  | TypeScript JSX     |         34 |          0 |          4 |         38 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\Vr.test.tsx                                                      | TypeScript JSX     |          9 |          0 |          2 |         11 |
